,tempo,comparações,trocas,Algoritmo,Tamanho,Distribuição
141,0.0047175040,1551094,385266,Quick Sort,70000,inversamente_ordenados
142,0.0033946080,555200,2257856,Merge Sort,70000,inversamente_ordenados
143,0.0006692730,0,0,STL (Standard Library),70000,inversamente_ordenados
144,2.0286005670,3199960000,159998,Selection Sort,80000,aleatorio
145,0.9732468550,1604312246,1604312246,Insertion Sort,80000,aleatorio
146,10.2458268020,3199958047,3208464494,Bubble Sort,80000,aleatorio
147,0.0081204080,1664290,1081554,Quick Sort,80000,aleatorio
148,0.0089097310,1203862,2617856,Merge Sort,80000,aleatorio
149,0.0045407350,0,0,STL (Standard Library),80000,aleatorio
150,2.0505413070,3199960000,159998,Selection Sort,80000,quase_ordenado
151,0.3254247770,519488360,519488360,Insertion Sort,80000,quase_ordenado
152,3.9614848780,3199877785,1038816722,Bubble Sort,80000,quase_ordenado
153,0.0042433850,1671911,456456,Quick Sort,80000,quase_ordenado
154,0.0128580710,1176869,2617856,Merge Sort,80000,quase_ordenado
155,0.0017895710,0,0,STL (Standard Library),80000,quase_ordenado
156,1.8198566010,3199960000,159998,Selection Sort,80000,inversamente_ordenados
157,1.9566084390,3200039999,3200039999,Insertion Sort,80000,inversamente_ordenados
158,6.9053780170,3199960000,6399920000,Bubble Sort,80000,inversamente_ordenados
159,0.0033923540,1659452,439092,Quick Sort,80000,inversamente_ordenados
160,0.0074165980,636864,2617856,Merge Sort,80000,inversamente_ordenados
161,0.0015802200,0,0,STL (Standard Library),80000,inversamente_ordenados
162,2.7014746090,4049955000,179998,Selection Sort,90000,aleatorio
163,1.2743047140,2025134747,2025134747,Insertion Sort,90000,aleatorio
164,13.0986204400,4049857097,4050089496,Bubble Sort,90000,aleatorio
165,0.0078620620,1947166,1225380,Quick Sort,90000,aleatorio
166,0.0102583460,1369500,2977856,Merge Sort,90000,aleatorio
167,0.0051148460,0,0,STL (Standard Library),90000,aleatorio
168,2.7390135180,4049955000,179998,Selection Sort,90000,quase_ordenado
169,0.4230051030,669748824,669748824,Insertion Sort,90000,quase_ordenado
170,5.1938819710,4049937234,1339317650,Bubble Sort,90000,quase_ordenado
171,0.0046945000,1909603,511650,Quick Sort,90000,quase_ordenado
172,0.0063166400,1341103,2977856,Merge Sort,90000,quase_ordenado
173,0.0023947210,0,0,STL (Standard Library),90000,quase_ordenado
174,2.4420377370,4049955000,179998,Selection Sort,90000,inversamente_ordenados
175,2.5554596240,4050044999,4050044999,Insertion Sort,90000,inversamente_ordenados
176,8.9193820200,4049955000,8099910000,Bubble Sort,90000,inversamente_ordenados
177,0.0039459250,1938427,494562,Quick Sort,90000,inversamente_ordenados
178,0.0063093660,723680,2977856,Merge Sort,90000,inversamente_ordenados
179,0.0007911360,0,0,STL (Standard Library),90000,inversamente_ordenados
180,3.3360011370,4999950000,199998,Selection Sort,100000,aleatorio
181,1.5615314670,2503406851,2503406851,Insertion Sort,100000,aleatorio
182,16.6861534900,4999839315,5006613704,Bubble Sort,100000,aleatorio
183,0.0085674450,2090118,1375917,Quick Sort,100000,aleatorio
184,0.0115553150,1536350,3337856,Merge Sort,100000,aleatorio
185,0.0093396050,0,0,STL (Standard Library),100000,aleatorio
186,3.2604004390,4999950000,199998,Selection Sort,100000,quase_ordenado
187,0.5079618690,819825560,819825560,Insertion Sort,100000,quase_ordenado
188,7.1499117490,4999729884,1639451122,Bubble Sort,100000,quase_ordenado
189,0.0051714240,2051985,570432,Quick Sort,100000,quase_ordenado
190,0.0063315280,1502507,3337856,Merge Sort,100000,quase_ordenado
191,0.0021615340,0,0,STL (Standard Library),100000,quase_ordenado
192,2.8769401710,4999950000,199998,Selection Sort,100000,inversamente_ordenados
193,3.1133957360,5000049999,5000049999,Insertion Sort,100000,inversamente_ordenados
194,10.7081843580,4999950000,9999900000,Bubble Sort,100000,inversamente_ordenados
195,0.0044295620,2175204,550122,Quick Sort,100000,inversamente_ordenados
196,0.0048644160,815024,3337856,Merge Sort,100000,inversamente_ordenados
197,0.0008721920,0,0,STL (Standard Library),100000,inversamente_ordenados
